also known as
aka
alias
KNOWN
DA
DAE
DE
JA
JE
ABD
AL
BIN
IBN
A
DE
DE LA
DE LAS
DE LOS
DEL
VAN
VON

BR
DR
CAPT
CMDR
COL
HON
GEN
LT
MR
MRS
MX
MS
